student_key,student_id,student_name,date_of_birth,grade,contact_number
64,S00064,danielle curtis,2012-04-12,Grade 3,+19375020746
65,S00065,laura stanley,2015-12-13,Grade 2,+18409353883
66,S00066,wyatt nelson,2010-01-10,Grade 5,+19384962179
67,S00067,philip hill,2015-02-02,Grade 1,+12657658985
68,S00068,robert clark,2017-09-09,Grade 3,+16469950750
69,S00069,william ford,2011-03-11,Grade 5,+16772941469
70,S00070,martin bennett md,2010-02-01,Grade 1,+14472144052
71,S00071,madison ellis,2012-06-16,Grade 4,+19296693154
72,S00072,dean cook,2014-11-04,Grade 4,+17588441898
73,S00073,christopher salinas,2011-01-04,Grade 5,+13455731319
74,S00074,mr. mark erickson,2017-03-14,Grade 4,+18302264434
75,S00075,jasmine allen,2017-10-12,Grade 1,+12018302268
76,S00076,robert martin,2013-06-28,Grade 1,+15837323507
77,S00077,amanda perry,2009-03-22,Grade 2,+16612651096
78,S00078,brian sims,2012-02-11,Grade 3,+16455692056
79,S00079,krista martinez,2008-05-03,Grade 2,+12818132086
80,S00080,aaron baldwin,2013-04-26,Grade 4,+18059390145
81,S00081,john underwood,2013-05-01,Grade 1,+15479434476
82,S00082,shawn martin,2016-10-12,Grade 4,+17357612346
83,S00083,michael harrison,2017-07-21,Grade 3,+12123467556
84,S00084,wanda eaton,2012-09-14,Grade 4,+19203339999
85,S00085,taylor juarez,2018-06-07,Grade 2,+18237917451
86,S00086,michael lee,2010-03-24,Grade 3,+15778316105
87,S00087,beth mendoza,2012-01-18,Grade 3,+18873944200
88,S00088,michele james,2014-08-08,Grade 5,+16422077825
89,S00089,noah dougherty,2006-06-02,Grade 5,+18592553549
90,S00090,david downs,2011-11-26,Grade 2,+19228134880
91,S00091,mary williams,2014-10-19,Grade 3,+18607600220
92,S00092,jason parker,2011-02-15,Grade 3,+15635730168
93,S00093,robert stewart,2009-06-30,Grade 1,+14777897616
94,S00094,paul ortega,2013-02-15,Grade 2,+19994317914
95,S00095,george williams,2008-09-01,Grade 2,+14013998240
96,S00096,dawn hall,2007-05-21,Grade 4,+17957924545
97,S00097,tyler schroeder,2009-03-25,Grade 5,+13147618012
98,S00098,courtney taylor,2006-06-03,Grade 3,+12587793223
99,S00099,jason george,2011-06-04,Grade 2,n/a
100,S00100,anthony villarreal,2016-04-12,Grade 3,+19356173478
101,S00101,william mitchell,2008-11-06,Grade 5,+17499237131
102,S00102,stacey ramos,2011-06-11,Grade 4,+17649751451
103,S00103,jacqueline richard,2010-10-19,Grade 5,+17449268903
104,S00104,allison flores,2014-10-06,Grade 3,+17568298027
105,S00105,john singleton,2008-07-21,Grade 3,+15596036410
106,S00106,matthew chandler,2006-12-29,Grade 1,+17794981573
107,S00107,brian ferguson,2017-01-13,Grade 3,+12598513309
108,S00108,james orozco,2012-10-08,Grade 5,+17747796874
109,S00109,sandy lee,2017-09-28,Grade 1,+14646080980
110,S00110,scott perez,2007-04-19,Grade 5,+19486288304
111,S00111,dylan jones,2009-10-01,Grade 1,+18137511036
112,S00112,barbara taylor,2015-10-26,Grade 5,n/a
113,S00113,brandon garcia,2006-08-15,Grade 2,+15414634530
114,S00114,kathryn wilson,2009-08-02,Grade 2,+13023666634
115,S00115,brian lowe,2007-10-29,Grade 3,+12227613749
116,S00116,julie schneider,2016-07-12,Grade 1,+16254500857
117,S00117,julie bush,2014-07-26,Grade 5,+17264274243
118,S00118,ellen carter,2016-05-31,Grade 3,+18367972128
119,S00119,kimberly ryan,2007-02-20,Grade 1,n/a
120,S00120,paul ramos,2018-09-25,Grade 1,+14538508972
121,S00121,benjamin martin,2012-03-27,Grade 4,+16808676297
122,S00122,kristine johnston,2014-01-02,Grade 4,+17928967675
123,S00123,elizabeth morales,2018-03-18,Grade 2,+19578073322
124,S00124,glenn alexander,2015-10-31,Grade 5,+17494465768
125,S00125,charles guerrero,2017-04-25,Grade 5,+18666889369
126,S00126,jeremy rhodes,2011-03-05,Grade 3,+17167508815
127,S00127,denise evans,2010-06-23,Grade 3,+16498019380
128,S00128,dr. jamie stewart,2007-04-14,Grade 3,+13104263533
129,S00129,anthony white,2017-01-30,Grade 2,+17744901258
130,S00130,eduardo miranda,2012-06-30,Grade 1,+19906385401
131,S00131,gregory schroeder,2013-04-05,Grade 3,n/a
132,S00132,jeremiah frank,2015-11-30,Grade 1,+14464935059
133,S00133,kathy jordan,2016-06-09,Grade 4,+16829656945
134,S00134,brett knight,2018-06-20,Grade 4,+19722735638
135,S00135,traci johnson,2007-07-28,Grade 1,+16562939872
136,S00136,mr. john salas,2016-04-18,Grade 2,+15566203226
137,S00137,cory garcia,2011-09-12,Grade 4,+19676379410
138,S00138,michael mccall,2017-07-17,Grade 2,+16536298453
139,S00139,jeffrey pace,2014-04-17,Grade 5,+18542418982
140,S00140,joshua smith,2007-06-01,Grade 3,+17416492163
141,S00141,mary mccullough dds,2006-06-19,Grade 5,+17167525816
142,S00142,brian phillips,2009-10-04,Grade 5,+18744617223
143,S00143,cynthia macdonald,2008-06-12,Grade 3,+19163724695
144,S00144,dylan riddle,2016-05-16,Grade 5,+12803832852
145,S00145,bonnie mitchell,2017-05-12,Grade 3,+13874906820
146,S00146,kaylee stewart,2009-05-10,Grade 1,+17749463285
147,S00147,kimberly williams,2009-01-11,Grade 2,+16567747324
148,S00148,travis moreno,2015-05-13,Grade 5,+15684239707
149,S00149,nicholas pope,2015-08-06,Grade 3,+18318076360
150,S00150,william griffin,2015-06-09,Grade 5,n/a
151,S00151,kenneth mccormick,2018-05-26,Grade 1,+19577459765
152,S00152,hannah baker,2017-12-30,Grade 5,+17532182172
153,S00153,megan noble,2014-07-06,Grade 2,+13819596172
154,S00154,chris robles,2012-06-13,Grade 4,+12872375597
155,S00155,sean baker,2006-06-04,Grade 3,+17874169684
156,S00156,joy wilkins,2010-01-03,Grade 4,+15264680151
157,S00157,derrick hall,2011-12-14,Grade 3,+13108109893
158,S00158,jordan compton,2017-08-18,Grade 3,+16658116217
159,S00159,erika johnson,2013-03-19,Grade 1,+19596835469
160,S00160,robert gibson,2017-02-22,Grade 5,+19335035929
161,S00161,jill valdez,2014-12-07,Grade 2,+17958727881
162,S00162,robert baxter,2017-10-11,Grade 3,+18638308594
163,S00163,ryan gordon,2007-09-01,Grade 1,+17737402829
164,S00164,angela gregory,2012-01-06,Grade 2,+18916789593
165,S00165,christina parker,2008-04-11,Grade 4,+19775233238
166,S00166,melissa williams,2011-11-22,Grade 5,+14693005323
167,S00167,mrs. jody campbell,2016-08-17,Grade 5,+16867844423
168,S00168,abigail ochoa,2018-10-25,Grade 1,+13684541821
169,S00169,susan lloyd,2015-05-08,Grade 3,+12742873477
170,S00170,krista stewart,2014-03-16,Grade 5,+18962098455
171,S00171,james davila,2017-10-29,Grade 2,+16884899712
172,S00172,julia barnes,2008-09-07,Grade 2,+16014552938
173,S00173,gregory santos,2013-08-20,Grade 3,+12416698148
174,S00174,michael smith,2015-12-24,Grade 2,+16814240282
175,S00175,cynthia torres md,2007-03-31,Grade 4,+18009497526
176,S00176,tyler adams,2010-10-29,Grade 3,+16675347289
177,S00177,rachel morgan,2008-02-15,Grade 1,+12707477816
178,S00178,jessica roberson,2013-08-02,Grade 1,+12606768371
179,S00179,christopher carter,2018-09-03,Grade 3,+15105759055
180,S00180,carla allen,2016-07-19,Grade 5,+15317490576
181,S00181,gregory davis,2014-05-13,Grade 4,+13038036153
182,S00182,jimmy mcintosh,2012-10-28,Grade 1,+14356337347
183,S00183,john tyler,2018-12-01,Grade 2,+15613969968
184,S00184,mathew thomas,2015-05-29,Grade 5,+15469175688
185,S00185,roy booth,2012-07-16,Grade 2,+19037899676
186,S00186,holly moore,2012-01-04,Grade 5,+17185803296
187,S00187,john williams,2018-07-17,Grade 4,+18288137149
188,S00188,jeffrey barnes,2007-10-24,Grade 2,+19454609376
189,S00189,morgan diaz,2018-03-02,Grade 2,+15203671169
190,S00190,daniel baxter,2011-12-04,Grade 5,+12347643911
191,S00191,samantha jackson,2018-07-30,Grade 2,+17904295919
192,S00192,christy frazier,2011-12-19,Grade 2,+19704533104
193,S00193,molly davis,2014-08-05,Grade 4,+15124777785
194,S00194,barbara frederick,2018-05-22,Grade 4,+17063429995
195,S00195,rita sosa,2017-01-05,Grade 4,+15182333212
196,S00196,anna good,2011-12-07,Grade 3,+16796468286
197,S00197,john mclaughlin,2014-05-25,Grade 2,+13433332472
198,S00198,haley young,2013-04-23,Grade 5,+17045181533
199,S00199,renee hunt,2012-10-06,Grade 3,+15942199144
200,S00200,daniel stewart,2012-02-17,Grade 4,+13055662294
201,S00201,thomas pugh,2013-02-16,Grade 5,+12645191497
202,S00202,laura smith,2007-04-28,Grade 5,+16455662214
203,S00203,andrew shepard,2012-01-07,Grade 1,+15574295075
204,S00204,april mann,2006-09-18,Grade 4,+12078333085
205,S00205,danielle carter,2010-04-23,Grade 3,+14333660330
206,S00206,suzanne gilbert,2007-07-28,Grade 1,+12069780922
207,S00207,samantha phillips,2018-06-23,Grade 5,+12649115307
208,S00208,troy dudley,2014-02-02,Grade 4,+15037492823
209,S00209,daniel bennett,2010-04-17,Grade 4,+17219819285
210,S00210,brenda butler,2011-07-25,Grade 4,+15237717577
211,S00211,jessica west,2013-07-11,Grade 5,+18933970073
212,S00212,kristin drake,2008-10-22,Grade 1,n/a
213,S00213,william patterson,2014-08-13,Grade 5,+16494451660
214,S00214,allison cruz,2016-01-01,Grade 2,+18052085816
215,S00215,marie carter,2015-09-16,Grade 2,+17274868639
216,S00216,stephen vaughn,2017-10-25,Grade 3,+16583634611
217,S00217,donna taylor,2015-09-22,Grade 4,+13218878509
218,S00218,lisa cooley,2015-12-02,Grade 1,+12725351555
219,S00219,jonathan ward,2014-01-01,Grade 1,+13755055283
220,S00220,wanda sanchez,2007-08-31,Grade 1,+17144697556
221,S00221,christopher maynard,2016-08-22,Grade 3,+16376071193
222,S00222,juan richard,2017-04-18,Grade 3,+18108393427
223,S00223,bob mccall,2015-06-30,Grade 1,+16577280571
224,S00224,jennifer malone,2011-10-20,Grade 3,+15256635545
225,S00225,dennis ibarra,2009-09-14,Grade 3,+15704107520
226,S00226,jessica garcia,2007-08-30,Grade 4,+13635497552
227,S00227,nicholas wright,2008-04-16,Grade 3,+16465600649
228,S00228,glenn ashley,2017-06-23,Grade 3,+17263450839
229,S00229,debbie cooper,2015-07-26,Grade 3,+12002173660
230,S00230,christopher haynes,2011-05-19,Grade 1,+14972282883
231,S00231,lisa cross,2014-02-15,Grade 1,+17177670860
232,S00232,clayton luna,2007-01-26,Grade 4,+13183524768
233,S00233,stephanie murphy,2012-07-16,Grade 5,+17747626662
234,S00234,ronald wood,2018-04-10,Grade 3,+13335460697
235,S00235,christine dorsey,2009-10-03,Grade 3,+17822365011
236,S00236,anne waters,2006-04-07,Grade 2,+16824168169
237,S00237,robert williams,2018-03-09,Grade 1,+13642413213
238,S00238,jason fox,2013-04-02,Grade 4,+14486649894
239,S00239,sean lane,2010-11-22,Grade 3,+13248652857
240,S00240,eric baxter,2018-06-17,Grade 3,+14848110130
241,S00241,maria allen,2009-01-27,Grade 2,+14534408320
242,S00242,sean brooks,2018-08-02,Grade 4,+15572898325
243,S00243,michael shepard,2009-11-02,Grade 1,+16735026368
244,S00244,taylor davis,2007-04-05,Grade 4,+13847314544
245,S00245,william norton,2009-03-14,Grade 5,+13074221352
246,S00246,jeffery smith,2015-02-07,Grade 4,+15119308599
247,S00247,brittany mccarthy,2007-07-15,Grade 4,+18919143142
248,S00248,susan turner,2014-04-05,Grade 2,+19284550769
249,S00249,steven smith,2010-05-20,Grade 2,+12415478604
250,S00250,william logan,2007-10-14,Grade 5,+14293968256
251,S00251,amy simon,2014-09-27,Grade 2,+12344810848
252,S00252,michelle murphy,2012-07-07,Grade 5,+12509527519
253,S00253,clifford bentley,2016-11-27,Grade 2,+18293960463
254,S00254,daniel bender,2010-05-16,Grade 4,+12499961585
255,S00255,spencer wilson,2017-01-01,Grade 1,+16514592147
256,S00256,belinda holt,2006-09-11,Grade 2,+12305221382
257,S00257,ralph kelly,2016-12-09,Grade 1,+16962724744
258,S00258,michael levine,2017-03-01,Grade 4,+13073070939
259,S00259,ashley nicholson,2009-06-06,Grade 3,+17399590159
260,S00260,caitlyn davis,2011-07-16,Grade 4,+13028679917
261,S00261,kevin smith,2017-03-30,Grade 1,+19695000112
262,S00262,kyle luna,2012-12-01,Grade 3,+13393134903
263,S00263,dawn hodge,2008-08-26,Grade 5,+13718036019
264,S00264,antonio chung,2009-07-09,Grade 2,+17564840271
265,S00265,tracy chandler,2008-08-11,Grade 3,+14889985404
266,S00266,kimberly mercer,2019-02-04,Grade 3,+16565163590
267,S00267,laura mcdonald,2006-09-10,Grade 3,+14092696055
268,S00268,shawn owens,2014-02-11,Grade 1,+15764420241
269,S00269,michael flores,2013-03-15,Grade 2,n/a
270,S00270,katherine gill,2010-05-07,Grade 2,+16073435848
271,S00271,todd anderson,2010-10-21,Grade 1,+17149981989
272,S00272,nicholas boone,2013-03-03,Grade 3,+19625567663
273,S00273,natalie burke,2014-09-07,Grade 1,+16666874187
274,S00274,william wilkerson,2013-02-04,Grade 3,n/a
275,S00275,christopher turner,2013-06-12,Grade 2,+13804128990
276,S00276,megan flores,2018-12-25,Grade 3,+17613150354
277,S00277,cheryl mason,2016-04-21,Grade 4,+17446052373
278,S00278,matthew mejia,2014-05-03,Grade 5,+18858088424
279,S00279,mr. michael stewart,2008-06-14,Grade 3,+17564564599
280,S00280,christopher lopez,2011-09-07,Grade 4,+15145755938
281,S00281,kimberly woods,2018-02-19,Grade 1,+17884485766
282,S00282,james fuller,2016-08-29,Grade 3,+13514503724
283,S00283,keith booker,2011-09-27,Grade 5,+14625596562
284,S00284,cheryl green,2009-06-26,Grade 4,+17984662186
285,S00285,chad wood,2012-04-10,Grade 5,+19932499121
286,S00286,martha perez,2007-08-19,Grade 3,+19966974699
287,S00287,michael price,2006-11-18,Grade 3,+12668637574
288,S00288,gary hudson,2006-11-21,Grade 4,+15027086285
289,S00289,timothy hall,2008-07-01,Grade 3,+12647714878
290,S00290,james camacho,2007-11-14,Grade 5,+16355189356
291,S00291,victoria tucker,2013-06-27,Grade 4,+19268309225
292,S00292,danny johnson,2016-03-27,Grade 3,+16106454882
293,S00293,denise ramsey,2012-11-15,Grade 3,n/a
294,S00294,michelle barker,2016-07-07,Grade 5,+13145572806
295,S00295,kyle lynch,2012-11-15,Grade 4,+12626316941
296,S00296,tracey murphy,2014-02-20,Grade 2,+18403317845
297,S00297,jeremy ferguson,2014-06-21,Grade 4,+14786726584
298,S00298,jeffery gilmore,2017-03-20,Grade 3,+13255813080
299,S00299,laura smith,2011-01-16,Grade 1,+19134014861
300,S00300,ms. karen thomas md,2007-06-13,Grade 2,+17602869971
301,S00301,vanessa anderson,2014-07-13,Grade 3,+15014231521
302,S00302,dr. valerie black,2016-01-17,Grade 1,n/a
303,S00303,abigail price,2006-11-01,Grade 2,+18919211661
304,S00304,scott fleming,2013-04-14,Grade 1,+16737733905
305,S00305,victoria chambers,2006-07-11,Grade 5,+16304324098
306,S00306,matthew butler,2008-01-24,Grade 2,+12302084513
307,S00307,christine daniel,2014-10-22,Grade 1,+16942493882
308,S00308,grace hardy,2007-06-18,Grade 2,+13366795747
309,S00309,emma thompson,2009-07-20,Grade 3,+12292809049
310,S00310,christopher henry,2016-02-06,Grade 2,+13792116066
311,S00311,alexandra king,2010-08-04,Grade 4,+15418616241
312,S00312,henry rhodes,2015-12-09,Grade 2,+14494008653
313,S00313,angela davis,2012-04-27,Grade 2,+19969542014
314,S00314,shane olson,2018-07-30,Grade 3,+15753374190
315,S00315,martin buck,2017-09-07,Grade 1,+18462772933
316,S00316,taylor ferguson,2017-07-30,Grade 5,+13639192666
317,S00317,kelsey jones,2018-04-02,Grade 1,+15374715009
318,S00318,matthew bass,2006-09-26,Grade 5,+15726955618
319,S00319,katherine woods,2014-12-05,Grade 5,+14193283771
320,S00320,tony hill,2014-01-01,Grade 3,+16247505412
321,S00321,gina thomas,2013-08-15,Grade 4,n/a
322,S00322,bryan johnson,2013-11-18,Grade 5,+12503489737
323,S00323,kathleen ewing,2007-07-29,Grade 1,+18803232479
324,S00324,brandon ewing,2012-05-17,Grade 4,+12202387955
325,S00325,robert lopez,2012-01-04,Grade 1,+17094558444
326,S00326,adrian smith,2014-02-09,Grade 3,n/a
327,S00327,john james,2007-05-23,Grade 4,+13822927448
328,S00328,janice carter,2013-12-15,Grade 3,+13748131643
329,S00329,mary mendez,2015-02-04,Grade 5,+18813804666
330,S00330,christopher anderson,2013-05-24,Grade 4,+15162599758
331,S00331,andre bruce,2015-10-06,Grade 4,+18045845885
332,S00332,cynthia hayden,2016-05-06,Grade 3,+18147305776
333,S00333,debra zhang,2018-02-18,Grade 2,+19207149046
334,S00334,jacob thomas,2018-07-17,Grade 3,n/a
335,S00335,jessica kim,2018-03-01,Grade 4,+17722443313
336,S00336,kristin blake,2008-11-04,Grade 3,+18039631286
337,S00337,laura ramirez,2007-03-04,Grade 1,+15124456206
338,S00338,mark vega,2013-02-24,Grade 4,+16364023798
339,S00339,hannah black,2015-04-25,Grade 5,+13644917527
340,S00340,daniel santos jr.,2016-03-22,Grade 3,+12728543014
341,S00341,brittany gonzales,2017-03-18,Grade 5,+13837742751
342,S00342,roberto lowe,2017-04-15,Grade 4,+15912796050
343,S00343,aaron edwards,2010-05-30,Grade 1,+14595910894
344,S00344,nicholas hickman,2012-12-31,Grade 3,+17996404267
345,S00345,ronald sullivan,2009-12-06,Grade 1,+14252090599
346,S00346,todd day,2018-05-12,Grade 2,+17208868293
347,S00347,debbie brooks,2018-03-17,Grade 4,+19314389442
348,S00348,lauren hansen,2009-11-01,Grade 4,+19719809492
349,S00349,elizabeth mitchell,2007-03-18,Grade 2,+16872804805
350,S00350,vanessa ryan,2009-05-03,Grade 5,+14532654168
351,S00351,charlene henry,2008-08-09,Grade 3,+13473094819
352,S00352,laura bailey,2010-11-25,Grade 1,+13914973088
353,S00353,mary schneider,2014-11-25,Grade 3,+12072847846
354,S00354,shawna johnson,2007-03-29,Grade 5,+15328807552
355,S00355,elizabeth cruz,2007-06-08,Grade 5,+19367616582
356,S00356,christine shaw,2014-07-19,Grade 5,+12347725348
357,S00357,melissa mathis,2008-03-03,Grade 5,+13058415452
358,S00358,steven jackson,2012-02-11,Grade 2,+19808693884
359,S00359,anna lee,2015-02-19,Grade 1,+18993068746
360,S00360,zachary nguyen,2011-11-10,Grade 4,+13217082166
361,S00361,john anderson,2019-02-12,Grade 1,n/a
362,S00362,donald taylor,2016-09-23,Grade 4,+18329410727
363,S00363,brian henry,2013-01-02,Grade 3,+19487320106
364,S00364,dr. brett hall,2010-06-10,Grade 2,+18382537204
365,S00365,michael glass,2008-11-25,Grade 3,+19953377703
366,S00366,karen bowman,2009-11-23,Grade 2,+13617145163
367,S00367,sean miller,2014-01-30,Grade 1,+12317755967
368,S00368,beth hammond,2012-03-27,Grade 2,+17514858130
369,S00369,haley fox,2017-01-19,Grade 2,+17419488914
370,S00370,christopher knox,2017-03-06,Grade 1,+17303874971
371,S00371,kyle smith,2015-11-13,Grade 1,+18729409360
372,S00372,laura lopez,2013-07-16,Grade 4,+16804927358
373,S00373,lisa gray,2013-09-09,Grade 4,+13995355789
374,S00374,jessica price,2017-10-14,Grade 1,+16468608453
375,S00375,george hunter,2013-11-22,Grade 4,+18698506842
376,S00376,sheryl lopez dds,2016-12-31,Grade 5,+16474829522
377,S00377,christina king,2014-01-24,Grade 1,+15772614710
378,S00378,william baker,2016-10-20,Grade 1,+14154022549
379,S00379,william white,2006-06-01,Grade 3,+19218671952
380,S00380,jamie butler,2010-06-20,Grade 2,n/a
381,S00381,dana robinson,2013-07-04,Grade 1,+15526816994
382,S00382,david cline,2019-01-13,Grade 1,n/a
383,S00383,kristi allen,2014-10-09,Grade 1,+18234997234
384,S00384,melissa moore,2009-06-06,Grade 4,+15899311524
385,S00385,alicia gonzalez,2009-12-03,Grade 2,+15708338817
386,S00386,christopher wallace,2013-02-18,Grade 1,+19295831673
387,S00387,christopher neal,2008-09-18,Grade 1,+13086096304
388,S00388,grant maddox,2011-12-22,Grade 2,+19814847611
389,S00389,cameron gibson,2018-06-19,Grade 1,+12212884630
390,S00390,kimberly young,2018-09-09,Grade 2,+12704044954
391,S00391,shelly garner,2009-10-14,Grade 4,+13015785593
392,S00392,amanda wood,2009-07-03,Grade 2,+13253078560
393,S00393,stacey gutierrez,2012-12-21,Grade 3,n/a
394,S00394,steven barnes,2009-12-23,Grade 4,+16665279237
395,S00395,deborah russo,2014-08-30,Grade 3,+14743138638
396,S00396,jeremy li,2015-05-16,Grade 1,+12462558338
397,S00397,mario pena,2013-09-19,Grade 2,+15213789806
398,S00398,brian little,2018-02-04,Grade 3,+19596581376
399,S00399,jennifer johnson,2012-05-27,Grade 1,+13238731770
400,S00400,ashley olsen,2008-03-15,Grade 1,+19086443786
401,S00401,justin vang,2007-10-27,Grade 3,+19592975406
402,S00402,brian johnston,2013-06-04,Grade 4,+17823101431
403,S00403,clinton moss,2009-01-31,Grade 1,+13039293017
404,S00404,stacie jordan,2010-03-15,Grade 5,+15439310299
405,S00405,kyle silva,2007-02-19,Grade 2,+13354956512
406,S00406,gregory smith,2015-09-25,Grade 5,+13635174301
407,S00407,samantha martin,2011-04-05,Grade 1,+12288423513
408,S00408,kathleen singh,2014-02-08,Grade 2,+18849596930
409,S00409,sarah mendoza,2017-06-11,Grade 5,+16259209989
410,S00410,tracy hernandez,2017-06-05,Grade 4,+19944975218
411,S00411,john ochoa,2014-02-14,Grade 5,n/a
412,S00412,jean baker,2017-10-13,Grade 5,+12772408437
413,S00413,susan schroeder,2013-08-25,Grade 3,+19097726947
414,S00414,denise johnson,2013-02-17,Grade 5,+13668765045
415,S00415,danielle williams,2008-03-03,Grade 4,+14155238820
416,S00416,dillon braun,2013-07-10,Grade 1,+16645679106
417,S00417,nathan bowen,2012-02-09,Grade 1,+17429576257
418,S00418,charles odonnell,2008-02-29,Grade 4,n/a
419,S00419,ricky roberts,2015-03-10,Grade 4,+14789419543
420,S00420,amber ross,2007-06-19,Grade 5,+14068804542
421,S00421,kendra perkins,2009-11-07,Grade 1,+16004652904
422,S00422,autumn dorsey,2010-06-23,Grade 2,+15705542403
423,S00423,logan mckinney,2013-03-31,Grade 3,+17189548983
424,S00424,nicholas adkins,2018-12-23,Grade 2,+15752348371
425,S00425,cody cantrell,2018-11-18,Grade 5,+16102425658
426,S00426,mary moon,2018-10-05,Grade 2,+18792074122
427,S00427,william brooks,2006-03-21,Grade 3,+19454326662
428,S00428,jeremiah morgan,2006-08-03,Grade 1,+16056878458
429,S00429,meghan prince,2006-05-15,Grade 3,+13162502606
430,S00430,cole solis,2007-05-08,Grade 5,+17864597748
431,S00431,jodi jones,2017-07-17,Grade 2,+13967122203
432,S00432,nicholas house,2015-10-10,Grade 4,+14614347483
433,S00433,donald thompson,2013-04-09,Grade 2,+12929640291
434,S00434,leslie moody,2012-12-15,Grade 4,+17243074403
435,S00435,paul holloway,2008-09-26,Grade 1,+14537989650
436,S00436,stephanie sexton,2012-02-05,Grade 5,+19016081104
437,S00437,jason rodriguez,2018-04-24,Grade 5,+19678744928
438,S00438,april duarte,2017-03-27,Grade 5,+14745722446
439,S00439,pamela smith,2009-02-06,Grade 5,+16757743478
440,S00440,melissa weiss,2018-09-22,Grade 5,+17319092944
441,S00441,tony collins,2012-05-02,Grade 3,+19384631996
442,S00442,ryan robertson,2016-09-16,Grade 3,+12512302758
443,S00443,destiny lloyd,2014-04-28,Grade 5,+16992043785
444,S00444,dustin david,2010-02-15,Grade 5,+17074920113
445,S00445,richard underwood,2013-06-02,Grade 4,+16602069530
446,S00446,miguel perez,2016-01-27,Grade 3,+13989222274
